,exchangeTimezoneName,fullExchangeName,symbol,regularMarketChange,gmtOffSetMilliseconds,exchangeDataDelayedBy,language,regularMarketTime,regularMarketChangePercent,exchangeTimezoneShortName,quoteType,regularMarketPrice,marketState,market,quoteSourceName,priceHint,tradeable,sourceInterval,exchange,shortName,region,regularMarketPreviousClose,triggerable,headSymbolAsString,currency,longName
0,America/New_York,SNP,^GSPC,"{'raw': 9.159912, 'fmt': '9.16'}",-14400000,0,en-US,"{'raw': 1595020291, 'fmt': '5:11PM EDT'}","{'raw': 0.2848612, 'fmt': '0.28%'}",EDT,INDEX,"{'raw': 3224.73, 'fmt': '3,224.73'}",CLOSED,us_market,Delayed Quote,2.0,False,15,SNP,S&P 500,US,"{'raw': 3215.57, 'fmt': '3,215.57'}",True,,,
1,America/New_York,Nasdaq GIDS,^IXIC,"{'raw': 29.361328, 'fmt': '29.36'}",-14400000,0,en-US,"{'raw': 1595020559, 'fmt': '5:15PM EDT'}","{'raw': 0.28033042, 'fmt': '0.28%'}",EDT,INDEX,"{'raw': 10503.19, 'fmt': '10,503.19'}",CLOSED,us_market,Delayed Quote,2.0,False,15,NIM,Nasdaq,US,"{'raw': 10473.8, 'fmt': '10,473.80'}",False,,,
2,America/New_York,Chicago Options,^RUT,"{'raw': 5.755493, 'fmt': '5.76'}",-14400000,20,en-US,"{'raw': 1595017806, 'fmt': '4:30PM EDT'}","{'raw': 0.3921801, 'fmt': '0.39%'}",EDT,INDEX,"{'raw': 1473.3193, 'fmt': '1,473.32'}",CLOSED,us_market,,2.0,False,15,WCB,Russell 2000,US,"{'raw': 1467.5638, 'fmt': '1,467.56'}",True,,,
3,America/New_York,NY Mercantile,CL=F,"{'raw': -0.1800003, 'fmt': '-0.18'}",-14400000,30,en-US,"{'raw': 1595019589, 'fmt': '4:59PM EDT'}","{'raw': -0.44171852, 'fmt': '-0.44%'}",EDT,FUTURE,"{'raw': 40.57, 'fmt': '40.57'}",CLOSED,us24_market,,,False,30,NYM,Crude Oil,US,"{'raw': 40.75, 'fmt': '40.75'}",False,CL=F,,
4,America/New_York,COMEX,GC=F,"{'raw': 11.799927, 'fmt': '11.80'}",-14400000,30,en-US,"{'raw': 1595019596, 'fmt': '4:59PM EDT'}","{'raw': 0.65544224, 'fmt': '0.66%'}",EDT,FUTURE,"{'raw': 1812.1, 'fmt': '1,812.10'}",CLOSED,us24_market,,,False,15,CMX,Gold,US,"{'raw': 1800.3, 'fmt': '1,800.30'}",False,GC=F,,
5,America/New_York,COMEX,SI=F,"{'raw': 0.17200089, 'fmt': '0.17'}",-14400000,30,en-US,"{'raw': 1595019599, 'fmt': '4:59PM EDT'}","{'raw': 0.87876606, 'fmt': '0.88%'}",EDT,FUTURE,"{'raw': 19.745, 'fmt': '19.75'}",CLOSED,us24_market,,,False,15,CMX,Silver,US,"{'raw': 19.573, 'fmt': '19.57'}",False,SI=F,,
6,Europe/London,CCY,EURUSD=X,"{'raw': 0.004424691, 'fmt': '0.0044'}",3600000,0,en-US,"{'raw': 1595024964, 'fmt': '11:29PM BST'}","{'raw': 0.38861904, 'fmt': '0.3886%'}",BST,CURRENCY,"{'raw': 1.1429878, 'fmt': '1.1430'}",CLOSED,ccy_market,,4.0,False,15,CCY,EUR/USD,US,"{'raw': 1.1405109, 'fmt': '1.1405'}",True,,USD,
7,America/New_York,NYBOT,^TNX,"{'raw': 0.016000032, 'fmt': '0.0160'}",-14400000,30,en-US,"{'raw': 1595012394, 'fmt': '2:59PM EDT'}","{'raw': 2.6143844, 'fmt': '2.61%'}",EDT,INDEX,"{'raw': 0.628, 'fmt': '0.6280'}",CLOSED,us24_market,,4.0,False,30,NYB,10-Yr Bond,US,"{'raw': 0.63, 'fmt': '0.6300'}",False,,,Treasury Yield 10 Years
8,America/New_York,Chicago Options,^VIX,"{'raw': -2.3199997, 'fmt': '-2.32'}",-14400000,20,en-US,"{'raw': 1595016891, 'fmt': '4:14PM EDT'}","{'raw': -8.285713, 'fmt': '-8.29%'}",EDT,INDEX,"{'raw': 25.68, 'fmt': '25.68'}",CLOSED,us_market,,2.0,False,15,WCB,Vix,US,"{'raw': 28.0, 'fmt': '28.00'}",True,,,
9,Europe/London,CCY,GBPUSD=X,"{'raw': 0.0014989376, 'fmt': '0.0015'}",3600000,0,en-US,"{'raw': 1595024964, 'fmt': '11:29PM BST'}","{'raw': 0.119407065, 'fmt': '0.1194%'}",BST,CURRENCY,"{'raw': 1.2568656, 'fmt': '1.2569'}",CLOSED,ccy_market,,4.0,False,15,CCY,GBP/USD,US,"{'raw': 1.2553667, 'fmt': '1.2554'}",True,,USD,
10,Europe/London,CCC,BTC-USD,"{'raw': 3.3359375, 'fmt': '3.34'}",3600000,0,en-US,"{'raw': 1595119950, 'fmt': '1:52AM BST'}","{'raw': 0.03642897, 'fmt': '0.04%'}",BST,CRYPTOCURRENCY,"{'raw': 9160.711, 'fmt': '9,160.71'}",REGULAR,ccc_market,CryptoCurrency,,False,15,CCC,,US,"{'raw': 9157.375, 'fmt': '9,157.38'}",True,,,
11,America/New_York,Nasdaq GIDS,^CMC200,"{'raw': 0.0, 'fmt': '0.00'}",-14400000,0,en-US,"{'raw': 1594647950, 'fmt': '9:45AM EDT'}","{'raw': 0.0, 'fmt': '0.00%'}",EDT,INDEX,"{'raw': 156.7543, 'fmt': '156.75'}",CLOSED,us_market,Delayed Quote,2.0,False,15,NIM,CMC Crypto 200,US,"{'raw': 156.754, 'fmt': '156.75'}",False,,,
12,Europe/London,FTSE Index,^FTSE,"{'raw': 39.609863, 'fmt': '39.61'}",3600000,15,en-US,"{'raw': 1595000130, 'fmt': '4:35PM BST'}","{'raw': 0.63368785, 'fmt': '0.63%'}",BST,INDEX,"{'raw': 6290.3, 'fmt': '6,290.30'}",CLOSED,gb_market,,2.0,False,15,FGI,FTSE 100,US,"{'raw': 6250.69, 'fmt': '6,250.69'}",False,,,
13,Asia/Tokyo,Osaka,^N225,"{'raw': -73.98047, 'fmt': '-73.98'}",32400000,0,en-US,"{'raw': 1594966503, 'fmt': '3:15PM JST'}","{'raw': -0.32489753, 'fmt': '-0.32%'}",JST,INDEX,"{'raw': 22696.42, 'fmt': '22,696.42'}",CLOSED,jp_market,,2.0,False,20,OSA,Nikkei 225,US,"{'raw': 22770.36, 'fmt': '22,770.36'}",False,,,
