ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
TROW,198976210.0,INV,2019-08-09,Completed,USD,128000000.0,Cash
TROW,197854580.0,INV,2019-07-24,Completed,USD,160000000.0,Cash
TROW,195508960.0,INV,2019-06-18,Completed,USD,37000000.0,Cash
TROW,194334560.0,INV,2019-05-30,Completed,USD,200000000.0,Cash
TROW,181832060.0,INV,2019-05-17,Pending,USD,575000000.0,Cash
TROW,192515980.0,INV,2019-05-07,Completed,USD,1150000000.0,Cash
TROW,190254180.0,INV,2019-04-01,Completed,USD,250000000.0,Cash
TROW,190021070.0,INV,2019-03-28,Completed,USD,76000000.0,Cash
TROW,189409180.0,INV,2019-03-22,Completed,USD,568000000.0,Cash
TROW,189543820.0,INV,2019-03-21,Completed,USD,125000000.0,Cash
TROW,184841890.0,INV,2019-02-07,Completed,USD,600000000.0,Cash
TROW,183388880.0,INV,2018-12-18,Completed,USD,100000000.0,Cash
TROW,183054770.0,INV,2018-12-13,Completed,USD,208000000.0,Cash
TROW,182883330.0,INV,2018-12-11,Completed,USD,146000000.0,Cash
TROW,182576160.0,INV,2018-12-06,Completed,JPY,3000000000.0,Cash
TROW,181303520.0,INV,2018-11-14,Completed,USD,165000000.0,Cash
TROW,179307040.0,INV,2018-10-11,Completed,USD,50000000.0,Cash
TROW,178038060.0,M&A,2018-09-20,Withdrawn,USD,0.0,Undisclosed
TROW,177313600.0,INV,2018-09-06,Completed,USD,90000000.0,Cash
TROW,176733140.0,INV,2018-08-29,Completed,USD,110000000.0,Cash
TROW,176663680.0,INV,2018-08-28,Completed,USD,132000000.0,Cash
TROW,175618340.0,INV,2018-08-08,Completed,USD,427000000.0,Cash
TROW,175554770.0,INV,2018-08-07,Completed,USD,0.0,Undisclosed
TROW,175065700.0,INV,2018-07-31,Completed,USD,140000000.0,Cash
TROW,174330750.0,INV,2018-07-18,Completed,USD,30000000.0,Cash
TROW,173906350.0,INV,2018-07-10,Completed,USD,115000000.0,Cash
TROW,169736980.0,INV,2018-06-08,Completed,USD,20000000.0,Cash
TROW,167364580.0,INV,2018-05-14,Completed,INR,0.0,Cash
TROW,165742200.0,INV,2018-05-07,Completed,USD,125000000.0,Cash
TROW,165586350.0,M&A,2018-05-02,Completed,USD,0.0,Cash
TROW,164318050.0,INV,2018-04-12,Completed,USD,100000000.0,Cash
TROW,164571660.0,INV,2018-03-20,Completed,USD,80000000.0,Cash
TROW,162556160.0,INV,2018-03-14,Completed,USD,75000000.0,Cash
TROW,156316270.0,INV,2017-11-30,Completed,USD,110000000.0,Cash
TROW,153411800.0,INV,2017-10-06,Completed,USD,117500000.0,Cash
TROW,148180780.0,INV,2017-09-24,Completed,USD,483000000.0,Cash
TROW,152037810.0,INV,2017-09-14,Completed,USD,963000000.0,Cash
TROW,148804020.0,INV,2017-07-13,Completed,USD,76000000.0,Cash
TROW,146477520.0,INV,2017-06-01,Completed,USD,11000000.0,Cash
TROW,144875250.0,INV,2017-05-03,Completed,USD,76500000.0,Cash
TROW,134064560.0,M&A,2016-10-26,Completed,USD,0.0,Cash
TROW,132184216.0,INV,2016-09-20,Completed,USD,50000000.0,Cash
TROW,126956630.0,INV,2016-06-09,Completed,USD,5500000.0,Cash
TROW,126674180.0,INV,2016-06-03,Completed,USD,40000000.0,Cash
TROW,121873790.0,INV,2016-03-03,Completed,USD,1808560000.0,Cash
TROW,117456240.0,INV,2015-12-16,Completed,USD,95000000.0,Cash
TROW,114098810.0,INV,2015-10-14,Completed,USD,20000000.0,Cash
TROW,113112140.0,INV,2015-09-28,Completed,USD,75000000.0,Cash
TROW,113077656.0,INV,2015-09-28,Completed,USD,115000000.0,Cash
TROW,112193016.0,INV,2015-09-08,Completed,USD,65000000.0,Cash
TROW,110257350.0,INV,2015-07-29,Completed,USD,130000000.0,Cash
TROW,109855700.0,INV,2015-07-20,Completed,USD,54000000.0,Cash
TROW,199213870.0,INV,2015-06-25,Completed,USD,400000000.0,Cash
TROW,107640570.0,INV,2015-06-01,Completed,USD,80000000.0,Cash
TROW,106250450.0,INV,2015-05-01,Completed,USD,100000000.0,Cash
TROW,104857750.0,INV,2015-03-31,Completed,USD,76000000.0,Cash
TROW,130023630.0,INV,2015-03-18,Completed,USD,130000000.0,Cash
TROW,103342900.0,M&A,2015-02-27,Completed,USD,0.0,Cash
TROW,101369000.0,INV,2015-01-12,Completed,USD,80000000.0,Cash
TROW,100089890.0,INV,2014-12-21,Completed,USD,700000000.0,Cash
TROW,197760530.0,INV,2014-12-15,Completed,USD,250000000.0,Cash
TROW,99146750.0,INV,2014-11-25,Completed,USD,30000000.0,Cash
TROW,97429470.0,M&A,2014-10-10,Completed,USD,0.0,Cash
TROW,96909736.0,INV,2014-10-01,Completed,USD,165000000.0,Cash
TROW,94930910.0,INV,2014-08-13,Completed,USD,150000000.0,Cash
TROW,90284140.0,INV,2014-04-23,Completed,USD,225000000.0,Cash
TROW,88886660.0,INV,2014-04-18,Completed,USD,475000000.0,Cash
TROW,88748800.0,INV,2014-03-18,Completed,USD,160000000.0,Cash
TROW,88594660.0,INV,2014-03-13,Completed,USD,50000000.0,Cash
TROW,88354420.0,INV,2014-03-07,Completed,USD,157000000.0,Cash
TROW,87081390.0,INV,2014-02-05,Completed,USD,125000000.0,Cash
TROW,89344904.0,INV,2013-11-19,Completed,USD,12000000.0,Cash
TROW,82257030.0,INV,2013-10-04,Completed,USD,150000000.0,Cash
TROW,80926670.0,INV,2013-08-29,Completed,USD,150000000.0,Cash
TROW,79396696.0,M&A,2013-05-23,Completed,USD,24000000.0,Cash
TROW,76276800.0,INV,2013-04-22,Completed,USD,60000000.0,Cash
TROW,71321190.0,INV,2012-11-30,Completed,USD,85000000.0,Cash
TROW,64041156.0,INV,2012-05-03,Completed,USD,70000000.0,Cash
TROW,61258612.0,INV,2012-01-31,Completed,USD,40000000.0,Cash
TROW,60915636.0,INV,2012-01-18,Completed,BRL,0.0,Undisclosed
TROW,55540130.0,INV,2011-06-21,Completed,USD,101000000.0,Cash
TROW,53734736.0,INV,2011-04-15,Completed,USD,0.0,Cash
TROW,40959332.0,INV,2009-11-09,Completed,INR,77480.0,Cash
TROW,40959324.0,INV,2009-11-09,Completed,INR,1625000000.0,Cash
TROW,40959210.0,INV,2009-11-09,Completed,INR,1625000000.0,Cash
TROW,40959200.0,INV,2009-11-09,Completed,INR,1625000000.0,Cash
TROW,40489424.0,INV,2009-11-09,Completed,INR,1625000000.0,Cash
TROW,47458176.0,INV,2009-09-25,Completed,USD,100000000.0,Cash
TROW,53610650.0,INV,2009-02-17,Completed,USD,86600000.0,Cash
TROW,30731796.0,INV,2008-01-15,Completed,USD,6600000000.0,Cash
TROW,67040020.0,INV,2007-09-17,Completed,USD,100000000.0,Cash
TROW,58389700.0,INV,2007-05-07,Completed,USD,70000000.0,Cash
TROW,20831846.0,M&A,2006-02-17,Completed,USD,0.0,Cash
TROW,67864360.0,INV,2005-02-16,Completed,USD,100000000.0,Cash
TROW,57283690.0,INV,2005-01-06,Completed,USD,52000000.0,Cash
TROW,66696956.0,INV,2000-08-22,Completed,USD,34500000.0,Cash
TROW,5691216.0,M&A,2000-04-11,Completed,USD,780000000.0,Undisclosed
TROW,66859148.0,INV,1999-10-18,Completed,USD,23000000.0,Cash
TROW,88187630.0,INV,1997-11-13,Completed,USD,34000000.0,Cash
TROW,66960396.0,INV,1997-03-13,Completed,USD,12750000.0,Cash
TROW,66886416.0,INV,1997-01-03,Completed,USD,0.0,Cash
TROW,68532620.0,INV,1995-08-14,Completed,USD,7000000.0,Cash
